[2026-02-20 07:19:52] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-21 04:22:28] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-21 04:22:28] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-21 04:22:28] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-21 04:43:07] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-21 04:43:07] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-21 04:43:07] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-21 04:43:07] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-21 04:43:07] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-21 04:43:07] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-21 05:38:30] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-21 05:38:30] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-21 05:38:30] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-21 05:38:30] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-21 05:38:30] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-21 05:38:30] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-21 05:38:37] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-21 05:38:37] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-21 05:38:37] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-21 05:38:37] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-21 05:38:37] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-21 05:38:37] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-21 05:41:15] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-21 05:41:15] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-21 05:41:15] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-21 05:41:15] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-21 05:41:15] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-21 05:41:15] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-21 05:41:55] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-21 05:41:55] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-21 05:41:55] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-21 05:41:55] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-21 05:41:55] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-21 05:41:55] SLOW QUERY (101ms): Just above threshold | Args: []
